,UNF
% Below High,0.1124
% Held by Institutions,0.9601999999999999
52-Wk Range,['154.72 - 214.66']
Annual Dividend $,1.24
Annual Dividend %,0.006500000000000001
Ask,304.51
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.9
Bid,76.13
Bid Size,100.0
Closing Price,190.53
Day Change $,-1.53
Day Change %,-0.008
Day High,193.56
Day Low,189.75
Dividend Pay Date,2023-01-04 00:00:00
"EPS (TTM, GAAP)",5.46
Ex-dividend,2022-12-06 00:00:00
Ex-dividend Date,12/06/22
Historical Volatility,0.27
Last (size),39.0
Last (time),7:00p ET 11/28/22
Market Cap,3.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",35.17
Prev Close,192.06
Shares Outstanding,18.7M
Short Interest,0.0148
Today's Open,191.32
Volume,60703.0
Volume 10-day Avg,66842.0
Volume Past Day,(Average)
