,UNF
Price/Earnings (TTM),35.17144
Price/Sales (TTM),1.79195
Price/Book (MRQ),1.87118
Price/Cash Flow (TTM),16.89767
5yr Low,121.89
5yr High,258.86
5yr Avg Return,0.04026666666666667
EPS Growth 5yr,0.09658670000000001
Revenue Growth 5yr,0.0469114
Dividend Growth 5yr,0.5028697
Short Int Current Month,220877.0
Short Int Prev Month,203303.0
Short Int Pct of Float,0.0148336
Days to Cover,3.14281
Float,14.89786
Shares Outstanding,18.66794
Institutions Holding Shares,315.0
% Held by Institutions,0.960235
FCF Growth 5yr,0.2607581865478044
