,BAH
Next Earnings Announcement,2023-01-27 00:00:00
Growth Analysts,13.0
Growth 1yr Low Est,0.056097560975609806
Growth 1yr High Est,0.09048723897911848
Growth 1yr Consensus Est,0.07329239997736414
Growth 2yr Low Est,0.07539289134230842
Growth 2yr High Est,0.11971170459594227
Growth 2yr Consensus Est,0.09755229796912535
Growth 5yr Low Est,0.1133018248979984
Growth 5yr High Est,0.14097830127756295
Growth 5yr Consensus Est,0.12714006308778067
Growth 5yr Actual/Est,0.11762042975632725
Growth 3yr Historic,0.0764755684567005
