,BAH
% Below High,0.0403
% Held by Institutions,0.9109999999999999
52-Wk Range,['69.68 - 112.55']
Annual Dividend $,1.72
Annual Dividend %,0.0159
Ask,108.38
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,0.7
Bid,97.57
Bid Size,200.0
Closing Price,108.01
Day Change $,1.9
Day Change %,0.0179
Day High,108.37
Day Low,106.12
Dividend Pay Date,2022-12-02 00:00:00
"EPS (TTM, GAAP)",3.94
Ex-dividend,2022-11-14 00:00:00
Ex-dividend Date,11/14/22
Historical Volatility,0.29
Last (size),28.0
Last (time),5:00p ET 11/25/22
Market Cap,14.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",27.41
Prev Close,106.11
Shares Outstanding,132.2M
Short Interest,0.0143
Today's Open,106.82
Volume,437860.0
Volume 10-day Avg,1176603.0
Volume Past Day,(Light)
