,PJT
Price/Earnings (TTM),20.39233
Price/Sales (TTM),2.94864
Price/Book (MRQ),12.8685
Price/Cash Flow (TTM),15.66976
5yr Low,23.63
5yr High,89.5
5yr Avg Return,0.12901666666666664
EPS Growth 5yr,
Revenue Growth 5yr,0.1471035
Dividend Growth 5yr,0.0
Short Int Current Month,870574.0
Short Int Prev Month,1139925.0
Short Int Pct of Float,0.0387157
Days to Cover,4.89659
Float,37.98642
Shares Outstanding,39.98558
Institutions Holding Shares,282.0
% Held by Institutions,0.690501
FCF Growth 5yr,-1.2240030793007595
