,PJT
Next Earnings Announcement,2023-01-31 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,-0.14348785871964687
Growth 1yr High Est,-0.14889336016096566
Growth 1yr Consensus Est,-0.14619060944030626
Growth 2yr Low Est,0.008152977856671462
Growth 2yr High Est,0.046120695806041945
Growth 2yr Consensus Est,0.027136836831356703
Growth 5yr Low Est,0.008152977856671462
Growth 5yr High Est,0.046120695806041945
Growth 5yr Consensus Est,0.027136836831356703
Growth 5yr Actual/Est,0.26776323616421077
Growth 3yr Historic,0.23656291819918696
