,CATY
Price/Earnings (TTM),10.22
Price/Sales (TTM),4.55272
Price/Book (MRQ),1.39569
Price/Cash Flow (TTM),9.84601
5yr Low,17.58
5yr High,48.88
5yr Avg Return,0.026983333333333328
EPS Growth 5yr,0.11625719999999999
Revenue Growth 5yr,0.0595688
Dividend Growth 5yr,0.1110881
Short Int Current Month,1310671.0
Short Int Prev Month,1386680.0
Short Int Pct of Float,0.0186108
Days to Cover,4.28338
Float,70.37138
Shares Outstanding,74.41379
Institutions Holding Shares,325.0
% Held by Institutions,0.6980620000000001
FCF Growth 5yr,0.4711250088119481
