,CATY
% Below High,0.058899999999999994
% Held by Institutions,0.6981
52-Wk Range,['37.37 - 48.88']
Annual Dividend $,1.36
Annual Dividend %,0.0296
Ask,46.37
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.2
Bid,45.63
Bid Size,100.0
Closing Price,46.0
Day Change $,0.54
Day Change %,0.011899999999999999
Day High,46.11
Day Low,45.43
Dividend Pay Date,2022-12-09 00:00:00
"EPS (TTM, GAAP)",4.5
Ex-dividend,2022-11-28 00:00:00
Ex-dividend Date,11/28/22
Historical Volatility,0.297
Last (size),1.0
Last (time),12:59p ET 11/25/22
Market Cap,3.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",10.22
Prev Close,45.46
Shares Outstanding,74.4M
Short Interest,0.018600000000000002
Today's Open,45.43
Volume,104036.0
Volume 10-day Avg,309975.0
Volume Past Day,(Light)
