,CATY
Next Earnings Announcement,2023-01-30 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,0.30894308943089444
Growth 1yr High Est,0.3015873015873016
Growth 1yr Consensus Est,0.30526519550909803
Growth 2yr Low Est,0.15654193809018835
Growth 2yr High Est,0.24022454510259394
Growth 2yr Consensus Est,0.19838324159639115
Growth 5yr Low Est,0.11558980962480428
Growth 5yr High Est,0.1587616978386533
Growth 5yr Consensus Est,0.1371757537317288
Growth 5yr Actual/Est,0.13704444515982198
Growth 3yr Historic,0.03805969402058554
