,DBD
Next Earnings Announcement,2023-02-09 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-2.019230769230769
Growth 2yr High Est,-3.0229885057471266
Growth 2yr Consensus Est,-2.521109637488948
Growth 5yr Low Est,-2.019230769230769
Growth 5yr High Est,-3.0229885057471266
Growth 5yr Consensus Est,-2.521109637488948
Growth 5yr Actual/Est,-2.8192593864468867
Growth 3yr Historic,-1.6364468864468864
