,DBD
% Above Low,0.19899999999999998
% Held by Institutions,0.7617
52-Wk Range,['1.91 - 11.00']
Annual Dividend $,
Annual Dividend %,
Ask,2.43
Ask Size,1000.0
B/A Ratio,0.1
B/A Size,100x1000
Beta,2.9
Bid,2.13
Bid Size,100.0
Closing Price,2.29
Day Change $,0.06
Day Change %,0.0269
Day High,2.31
Day Low,2.19
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-5.96
Ex-dividend Date,No dividend
Historical Volatility,1.0370000000000001
Last (size),25.0
Last (time),5:00p ET 11/25/22
Market Cap,181.1M
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,2.23
Shares Outstanding,79.1M
Short Interest,0.1448
Today's Open,2.24
Volume,525842.0
Volume 10-day Avg,1295037.0
Volume Past Day,(Light)
