,DBD
Price/Earnings (TTM),
Price/Sales (TTM),0.05099
Price/Book (MRQ),
Price/Cash Flow (TTM),
5yr Low,1.91
5yr High,20.4
5yr Avg Return,0.23554999999999995
EPS Growth 5yr,
Revenue Growth 5yr,0.0332321
Dividend Growth 5yr,
Short Int Current Month,10278860.0
Short Int Prev Month,10301733.0
Short Int Pct of Float,0.1448458
Days to Cover,6.08955
Float,71.40678
Shares Outstanding,79.07806
Institutions Holding Shares,228.0
% Held by Institutions,0.761733
FCF Growth 5yr,-0.7640912602193316
