,FULT
Price/Earnings (TTM),11.9495
Price/Sales (TTM),3.27462
Price/Book (MRQ),1.37621
Price/Cash Flow (TTM),10.86439
5yr Low,8.89
5yr High,19.55
5yr Avg Return,0.023399999999999997
EPS Growth 5yr,0.1187609
Revenue Growth 5yr,0.037049
Dividend Growth 5yr,0.0767523
Short Int Current Month,4242592.0
Short Int Prev Month,5122512.0
Short Int Pct of Float,0.025575800000000003
Days to Cover,5.28144
Float,165.9851
Shares Outstanding,167.4944
Institutions Holding Shares,347.0
% Held by Institutions,0.660614
FCF Growth 5yr,-8.763479600991891
