,FULT
% Below High,0.023
% Held by Institutions,0.6606000000000001
52-Wk Range,['13.72 - 19.17']
Annual Dividend $,0.6
Annual Dividend %,0.032
Ask,19.01
Ask Size,300.0
B/A Ratio,0.6666666666666666
B/A Size,200x300
Beta,0.8
Bid,13.36
Bid Size,200.0
Closing Price,18.73
Day Change $,0.28
Day Change %,0.0152
Day High,18.75
Day Low,18.47
Dividend Pay Date,2022-10-17 00:00:00
"EPS (TTM, GAAP)",1.57
Ex-dividend,2022-09-30 00:00:00
Ex-dividend Date,09/30/22
Historical Volatility,0.267
Last (size),77.0
Last (time),1:00p ET 11/25/22
Market Cap,3.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",11.95
Prev Close,18.45
Shares Outstanding,167.5M
Short Interest,0.0256
Today's Open,18.53
Volume,383095.0
Volume 10-day Avg,784921.0
Volume Past Day,(Light)
