,EHC
Next Earnings Announcement,2023-01-31 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,-0.35597189695550346
Growth 1yr High Est,-0.3517241379310345
Growth 1yr Consensus Est,-0.353848017443269
Growth 2yr Low Est,-0.1434404939322972
Growth 2yr High Est,-0.04288334556126194
Growth 2yr Consensus Est,-0.09316191974677956
Growth 5yr Low Est,-0.005531786116500681
Growth 5yr High Est,0.004628532698821047
Growth 5yr Consensus Est,-0.0004516267088398168
Growth 5yr Actual/Est,0.007268351236126125
Growth 3yr Historic,0.0506995637129532
