,EHC
% Below High,0.037200000000000004
% Held by Institutions,0.9839
52-Wk Range,['42.16 - 59.33']
Annual Dividend $,0.6
Annual Dividend %,0.0105
Ask,59.2
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,1.1
Bid,22.94
Bid Size,200.0
Closing Price,57.12
Day Change $,0.65
Day Change %,0.0115
Day High,57.56
Day Low,56.56
Dividend Pay Date,2023-01-17 00:00:00
"EPS (TTM, GAAP)",2.91
Ex-dividend,2022-12-30 00:00:00
Ex-dividend Date,12/30/22
Historical Volatility,0.9500000000000001
Last (size),15.0
Last (time),5:00p ET 11/25/22
Market Cap,5.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",19.66
Prev Close,56.47
Shares Outstanding,99.8M
Short Interest,0.0285
Today's Open,56.89
Volume,283691.0
Volume 10-day Avg,552470.0
Volume Past Day,(Light)
