,HLTH
% Above Low,0.028900000000000002
% Held by Institutions,0.545
52-Wk Range,['2.42 - 16.20']
Annual Dividend $,
Annual Dividend %,
Ask,2.54
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,
Bid,2.41
Bid Size,100.0
Closing Price,2.49
Day Change $,-0.09
Day Change %,-0.0349
Day High,2.56
Day Low,2.42
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.29
Ex-dividend Date,No dividend
Historical Volatility,0.927
Last (size),10.0
Last (time),1:00p ET 11/25/22
Market Cap,372.1M
"P/E Ratio (TTM, GAAP)",
Prev Close,2.58
Shares Outstanding,149.4M
Short Interest,0.024399999999999998
Today's Open,2.56
Volume,126518.0
Volume 10-day Avg,347089.0
Volume Past Day,(Light)
