,HLTH
Price/Earnings (TTM),
Price/Sales (TTM),0.54455
Price/Book (MRQ),0.57483
Price/Cash Flow (TTM),
5yr Low,2.47
5yr High,22.55
5yr Avg Return,-0.5114
Short Int Current Month,3090221.0
Short Int Prev Month,4175584.0
Short Int Pct of Float,0.024378700000000003
Days to Cover,7.9862
Float,126.8855
Shares Outstanding,149.4324
Institutions Holding Shares,117.0
% Held by Institutions,0.544957
FCF Growth 5yr,
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
