,BTRS
% Below High,0.0042
% Held by Institutions,0.7796
52-Wk Range,['3.95 - 9.49']
Annual Dividend $,
Annual Dividend %,
Ask,9.49
Ask Size,10100.0
B/A Ratio,0.1188118811881188
B/A Size,1200x10100
Beta,
Bid,9.45
Bid Size,1200.0
Closing Price,9.45
Day Change $,0.0
Day Change %,0.0
Day High,9.47
Day Low,9.45
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.5
Ex-dividend Date,No dividend
Historical Volatility,0.8170000000000001
Last (size),48.0
Last (time),12:59p ET 11/25/22
Market Cap,1.6B
"P/E Ratio (TTM, GAAP)",
Prev Close,9.45
Shares Outstanding,167.8M
Short Interest,0.0669
Today's Open,9.46
Volume,551418.0
Volume 10-day Avg,1528640.0
Volume Past Day,(Light)
