,BTRS
Next Earnings Announcement,2023-02-28 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.4
Growth 2yr High Est,-0.5135135135135136
Growth 2yr Consensus Est,-0.4567567567567568
Growth 5yr Low Est,-0.4
Growth 5yr High Est,-0.5135135135135136
Growth 5yr Consensus Est,-0.4567567567567568
Growth 5yr Actual/Est,-0.2673094878977232
Growth 3yr Historic,-0.14215686274509806
