,BTRS
Price/Earnings (TTM),
Price/Sales (TTM),8.22941
Price/Book (MRQ),6.17969
Price/Cash Flow (TTM),
5yr Low,3.95
5yr High,19.76
5yr Avg Return,0.08557500000000001
Short Int Current Month,9221850.0
Short Int Prev Month,8108906.0
Short Int Pct of Float,0.0669063
Days to Cover,3.83467
Float,134.4313
Shares Outstanding,164.7179
Institutions Holding Shares,200.0
% Held by Institutions,0.779585
FCF Growth 5yr,0.4164962541495822
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
