,JKHY
% Below High,0.09970000000000001
% Held by Institutions,0.9031
52-Wk Range,['147.50 - 212.62']
Annual Dividend $,1.96
Annual Dividend %,0.0102
Ask,191.94
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.6
Bid,190.9
Bid Size,100.0
Closing Price,191.42
Day Change $,1.36
Day Change %,0.0072
Day High,191.76
Day Low,190.29
Dividend Pay Date,2022-12-22 00:00:00
"EPS (TTM, GAAP)",5.02
Ex-dividend,2022-11-30 00:00:00
Ex-dividend Date,11/30/22
Historical Volatility,0.256
Last (size),40.0
Last (time),1:00p ET 11/25/22
Market Cap,14.0B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",38.17
Prev Close,190.06
Shares Outstanding,72.9M
Short Interest,0.0342
Today's Open,190.31
Volume,196633.0
Volume 10-day Avg,596458.0
Volume Past Day,(Light)
