,JKHY
Price/Earnings (TTM),38.16607
Price/Sales (TTM),7.03819
Price/Book (MRQ),9.55179
Price/Cash Flow (TTM),25.55573
5yr Low,112.3
5yr High,212.62
5yr Avg Return,0.09154999999999999
EPS Growth 5yr,0.10979570000000001
Revenue Growth 5yr,0.0695309
Dividend Growth 5yr,
Short Int Current Month,2474866.0
Short Int Prev Month,2194668.0
Short Int Pct of Float,0.034236
Days to Cover,3.4086
Float,72.29022
Shares Outstanding,72.94943
Institutions Holding Shares,973.0
% Held by Institutions,0.903137
FCF Growth 5yr,0.3081482388807229
