,MDRX
Price/Earnings (TTM),19.71936
Price/Sales (TTM),2.42092
Price/Book (MRQ),1.72195
Price/Cash Flow (TTM),9.86901
5yr Low,4.56
5yr High,23.25
5yr Avg Return,0.07948333333333331
EPS Growth 5yr,0.4205012
Revenue Growth 5yr,0.0163352
Dividend Growth 5yr,
Short Int Current Month,9820898.0
Short Int Prev Month,9644775.0
Short Int Pct of Float,0.09209110000000001
Days to Cover,5.60694
Float,106.6435
Shares Outstanding,109.2598
Institutions Holding Shares,347.0
% Held by Institutions,1.072557
FCF Growth 5yr,-0.38429696480543935
