,MDRX
% Below High,0.2022
% Held by Institutions,1.0726
52-Wk Range,['13.59 - 23.25']
Annual Dividend $,
Annual Dividend %,
Ask,20.8
Ask Size,100.0
Ask close,22.89
B/A Ratio,1.0
B/A Size,100x100
Beta,1.0
Bid,16.86
Bid Size,100.0
Bid close,14.28
Change Since Close,-0.05| |(-0.27%)
Closing Price,18.55
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.94
Ex-dividend Date,No dividend
Historical Volatility,0.399
Last (size),10.0
Last (time),1:00p ET 11/25/22
Last Trade,18.5
Market Cap,2.0B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",19.72
Prev Close,18.55
Shares Outstanding,109.3M
Short Interest,0.09210000000000002
Today's Open,
Volume,10.0
Volume 10-day Avg,1395162.0
Volume Past Day,(Light)
