,CMA
% Above Low,0.1207
% Held by Institutions,0.8364
52-Wk Range,['64.11 - 102.09']
Annual Dividend $,2.72
Annual Dividend %,0.0379
Ask,88.38
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.2
Bid,65.0
Bid Size,100.0
Closing Price,71.85
Day Change $,0.1
Day Change %,0.0014000000000000002
Day High,72.19
Day Low,71.5
Dividend Pay Date,2023-01-01 00:00:00
"EPS (TTM, GAAP)",7.55
Ex-dividend,2022-12-14 00:00:00
Ex-dividend Date,12/14/22
Historical Volatility,0.381
Last (size),3.0
Last (time),5:00p ET 11/25/22
Market Cap,9.4B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",9.52
Prev Close,71.75
Shares Outstanding,131.0M
Short Interest,0.021400000000000002
Today's Open,72.03
Volume,279461.0
Volume 10-day Avg,1091627.0
Volume Past Day,(Light)
