,CMA
Price/Earnings (TTM),9.51912
Price/Sales (TTM),2.88264
Price/Book (MRQ),2.01212
Price/Cash Flow (TTM),8.55357
5yr Low,24.28
5yr High,102.66
5yr Avg Return,0.012749999999999992
EPS Growth 5yr,0.2550447
Revenue Growth 5yr,-0.0008395
Dividend Growth 5yr,0.2560587
Short Int Current Month,2785734.0
Short Int Prev Month,2973136.0
Short Int Pct of Float,0.021419399999999998
Days to Cover,1.47636
Float,130.1717
Shares Outstanding,130.9524
Institutions Holding Shares,776.0
% Held by Institutions,0.8363700000000001
FCF Growth 5yr,-1.2350574593664565
