,BATRK
% Below High,0.0305
% Held by Institutions,
52-Wk Range,['23.34 - 34.15']
Annual Dividend $,
Annual Dividend %,
Ask,53.0
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,
Bid,13.26
Bid Size,200.0
Closing Price,33.11
Day Change $,0.11
Day Change %,0.0033
Day High,33.45
Day Low,33.0
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",
Ex-dividend Date,No dividend
Historical Volatility,0.24
Last (size),18.0
Last (time),1:00p ET 11/25/22
Market Cap,1.8B
"P/E Ratio (TTM, GAAP)",--x
Prev Close,33.0
Shares Outstanding,52.9M
Short Interest,
Today's Open,33.05
Volume,64141.0
Volume 10-day Avg,165695.0
Volume Past Day,(Light)
