,BATRK
Next Earnings Announcement,2023-02-24 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.6666666666666667
Growth 2yr High Est,-1.6923076923076923
Growth 2yr Consensus Est,-0.5128205128205128
Growth 5yr Low Est,0.6666666666666667
Growth 5yr High Est,-1.6923076923076923
Growth 5yr Consensus Est,-0.5128205128205128
Growth 5yr Actual/Est,-0.15452893409019233
Growth 3yr Historic,-0.14262417218543044
