,SWAV
% Below High,0.1962
% Held by Institutions,0.9081999999999999
52-Wk Range,['113.36 - 320.54']
Annual Dividend $,
Annual Dividend %,
Ask,257.88
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.0
Bid,257.51
Bid Size,100.0
Day Change $,-6.61
Day Change %,-0.025
Day High,269.74
Day Low,256.58
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.35
Ex-dividend Date,No dividend
Historical Volatility,0.698
Last (size),2.0
Last (time),3:40p ET 11/28/22
Market Cap,9.3B
"P/E Ratio (TTM, GAAP)",112.33
Prev Close,264.27
Price,257.66
Shares Outstanding,36.1M
Short Interest,0.0352
Today's Open,264.0
Volume Past Day,(Light)
