,SWAV
Price/Earnings (TTM),112.3301
Price/Sales (TTM),22.21806
Price/Book (MRQ),26.82838
Price/Cash Flow (TTM),103.5497
5yr Low,22.01
5yr High,320.54
5yr Avg Return,0.8146249999999999
Short Int Current Month,1258095.0
Short Int Prev Month,1487049.0
Short Int Pct of Float,0.0351939
Days to Cover,2.064
Float,35.75573
Shares Outstanding,36.14229
Institutions Holding Shares,519.0
% Held by Institutions,0.908218
FCF Growth 5yr,-6.369499418653123
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
