,SWAV
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,-2.42
Growth 1yr High Est,-2.6721311475409832
Growth 1yr Consensus Est,-2.5460655737704916
Growth 2yr Low Est,-1.148380281690141
Growth 2yr High Est,-0.9716864888031713
Growth 2yr Consensus Est,-1.0600333852466561
Growth 5yr Low Est,-0.765586854460094
Growth 5yr High Est,-0.6477909925354476
Growth 5yr Consensus Est,-0.7066889234977708
Growth 5yr Actual/Est,-3.2766562146992335
Growth 3yr Historic,-0.23486004790306675
