,VVNT
% Below High,0.21989999999999998
% Held by Institutions,0.8237000000000001
52-Wk Range,['3.26 - 11.14']
Annual Dividend $,
Annual Dividend %,
Ask,9.66
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,0.9
Bid,8.23
Bid Size,100.0
Closing Price,8.69
Day Change $,0.04
Day Change %,0.0046
Day High,8.88
Day Low,8.62
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.85
Ex-dividend Date,No dividend
Historical Volatility,0.7640000000000001
Last (size),36.0
Last (time),7:00p ET 11/28/22
Market Cap,1.9B
"P/E Ratio (TTM, GAAP)",
Prev Close,8.65
Shares Outstanding,213.4M
Short Interest,0.016200000000000003
Today's Open,8.62
Volume,304314.0
Volume 10-day Avg,617376.0
Volume Past Day,(Light)
