,VVNT
Price/Earnings (TTM),
Price/Sales (TTM),1.16602
Price/Book (MRQ),
Price/Cash Flow (TTM),
5yr Low,3.26
5yr High,32.0
5yr Avg Return,0.07003333333333334
Short Int Current Month,3148779.0
Short Int Prev Month,3392637.0
Short Int Pct of Float,0.016183700000000002
Days to Cover,4.5027
Float,195.425
Shares Outstanding,213.3822
Institutions Holding Shares,162.0
% Held by Institutions,0.823725
FCF Growth 5yr,-1.2195700295085536
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
