,Earnings Result,Estimate,Actual,Growth,Low Estimate,Low Growth Est,High Estimate,High Growth Est,Consensus Estimate,Actual/Estimate,A/E Growth,Consensus Growth Est
Year ending 12/2019,Neutral,-1.86,,,-2.56,,-1.18,,-1.86,-1.86,,
Year ending 12/2020,Negative Surprise,,-2.59,,,0.0,,0.0,-2.44,-2.59,0.39247311827956977,0.0
Year ending 12/2021,Positive Surprise,,-1.47,-0.43243243243243246,,0.0,,0.0,-1.59,-1.47,-0.43243243243243246,0.0
Year ending 12/2022,Neutral,-0.58,,0.0,-0.72,-0.71875,-0.49,-0.5847457627118644,-0.58,-0.58,-0.6054421768707483,-0.6517478813559322
Year ending 12/2023,Neutral,-0.56,,0.0,-0.79,0.09722222222222232,-0.24,-0.5102040816326531,-0.56,-0.56,-0.0344827586206895,-0.20649092970521538
