,WEX
Price/Earnings (TTM),73.96033
Price/Sales (TTM),3.20695
Price/Book (MRQ),4.43739
Price/Cash Flow (TTM),17.95838
5yr Low,71.12
5yr High,236.52
5yr Avg Return,0.07318333333333332
EPS Growth 5yr,-0.649921
Revenue Growth 5yr,0.1281889
Dividend Growth 5yr,
Short Int Current Month,1151905.0
Short Int Prev Month,967899.0
Short Int Pct of Float,0.0269035
Days to Cover,3.06382
Float,42.83629
Shares Outstanding,43.59306
Institutions Holding Shares,467.0
% Held by Institutions,1.017008
FCF Growth 5yr,-2.316792743830787
