,WEX
% Below High,0.12890000000000001
% Held by Institutions,1.0170000000000001
52-Wk Range,['123.01 - 183.38']
Annual Dividend $,
Annual Dividend %,
Ask,215.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.6
Bid,99.0
Bid Size,100.0
Closing Price,159.75
Day Change $,-4.26
Day Change %,-0.026000000000000002
Day High,162.01
Day Low,159.58
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.22
Ex-dividend Date,No dividend
Historical Volatility,0.38799999999999996
Last (size),1.0
Last (time),7:00p ET 11/28/22
Market Cap,7.0B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",73.96
Prev Close,164.01
Shares Outstanding,43.6M
Short Interest,0.0269
Today's Open,161.62
Volume,306146.0
Volume 10-day Avg,300257.0
Volume Past Day,(Average)
