,SHLS
% Below High,0.1008
% Held by Institutions,1.062
52-Wk Range,['9.58 - 32.43']
Annual Dividend $,
Annual Dividend %,
Ask,29.16
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,
Bid,29.12
Bid Size,100.0
Day Change $,-1.87
Day Change %,-0.0603
Day High,30.87
Day Low,29.06
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.14
Ex-dividend Date,No dividend
Historical Volatility,0.918
Last (size),100.0
Last (time),2:13p ET 11/28/22
Market Cap,3.3B
"P/E Ratio (TTM, GAAP)",220.96
Prev Close,31.03
Price,29.16
Shares Outstanding,113.5M
Short Interest,0.0789
Today's Open,30.7
Volume Past Day,(Light)
