,SHLS
Price/Earnings (TTM),220.9642
Price/Sales (TTM),18.52099
Price/Book (MRQ),196.6102
Price/Cash Flow (TTM),155.895
5yr Low,9.58
5yr High,44.04
5yr Avg Return,-0.010549999999999997
Short Int Current Month,8841555.0
Short Int Prev Month,9138522.0
Short Int Pct of Float,0.0788529
Days to Cover,3.93241
Float,112.0978
Shares Outstanding,167.3246
Institutions Holding Shares,324.0
% Held by Institutions,1.062024
FCF Growth 5yr,0.09842866311509339
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
