,CWST
% Below High,0.0817
% Held by Institutions,1.0102
52-Wk Range,['63.90 - 92.75']
Annual Dividend $,
Annual Dividend %,
Ask,85.62
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.9
Bid,84.72
Bid Size,100.0
Closing Price,85.17
Day Change $,0.1
Day Change %,0.0012
Day High,86.32
Day Low,85.01
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.04
Ex-dividend Date,No dividend
Historical Volatility,0.29100000000000004
Last (size),24.0
Last (time),1:00p ET 11/25/22
Market Cap,4.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",81.91
Prev Close,85.07
Shares Outstanding,51.7M
Short Interest,0.0222
Today's Open,85.56
Volume,59130.0
Volume 10-day Avg,165674.0
Volume Past Day,(Light)
