,GSAT
Price/Earnings (TTM),
Price/Sales (TTM),24.53488
Price/Book (MRQ),25.6307
Price/Cash Flow (TTM),
5yr Low,0.2302
5yr High,2.98
5yr Avg Return,0.31234999999999996
EPS Growth 5yr,
Revenue Growth 5yr,0.0511443
Dividend Growth 5yr,
Short Int Current Month,28485543.0
Short Int Prev Month,34287050.0
Short Int Pct of Float,0.0418459
Days to Cover,3.25315
Float,681.0867
Shares Outstanding,1801.0
Institutions Holding Shares,224.0
% Held by Institutions,0.182921
FCF Growth 5yr,-2.1394947780362332
