,GSAT
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,1.1428571428571428
Growth 1yr High Est,1.5
Growth 1yr Consensus Est,1.3214285714285714
Growth 2yr Low Est,0.17142857142857137
Growth 2yr High Est,0.2833333333333333
Growth 2yr Consensus Est,0.22738095238095235
Growth 5yr Low Est,0.16984126984126982
Growth 5yr High Est,0.18888888888888888
Growth 5yr Consensus Est,0.1793650793650793
Growth 5yr Actual/Est,0.12261904761904757
Growth 3yr Historic,-0.035714285714285754
