,GSAT
% Above Low,1.1385
% Held by Institutions,0.18289999999999998
52-Wk Range,['0.9025 - 2.98']
Annual Dividend $,
Annual Dividend %,
Ask,1.93
Ask Size,8900.0
B/A Ratio,0.6179775280898876
B/A Size,5500x8900
Beta,0.5
Bid,1.89
Bid Size,5500.0
Closing Price,1.93
Day Change $,0.03
Day Change %,0.0158
Day High,1.94
Day Low,1.89
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.15
Ex-dividend Date,No dividend
Historical Volatility,0.7120000000000001
Last (size),44.0
Last (time),5:00p ET 11/25/22
Market Cap,3.5B
"P/E Ratio (TTM, GAAP)",
Prev Close,1.9
Shares Outstanding,1.8B
Short Interest,0.0418
Today's Open,1.9
Volume,1289038.0
Volume 10-day Avg,6770804.0
Volume Past Day,(Light)
