,FCNCA
% Below High,0.1426
% Held by Institutions,0.647
52-Wk Range,['598.01 - 947.71']
Annual Dividend $,3.0
Annual Dividend %,0.0037
Ask,829.91
Ask Size,2200.0
B/A Ratio,0.09090909090909091
B/A Size,200x2200
Beta,0.9
Bid,323.69
Bid Size,200.0
Closing Price,812.53
Day Change $,7.26
Day Change %,0.009000000000000001
Day High,815.78
Day Low,793.31
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",62.92
Ex-dividend,2022-11-29 00:00:00
Ex-dividend Date,11/29/22
Historical Volatility,0.371
Last (size),100.0
Last (time),1:00p ET 11/25/22
Market Cap,11.8B
"P/E Ratio (TTM, GAAP)",12.91
Prev Close,805.27
Shares Outstanding,14.5M
Short Interest,0.0239
Today's Open,798.67
Volume,27827.0
Volume 10-day Avg,63587.0
Volume Past Day,(Light)
