,FCNCA
Price/Earnings (TTM),12.91269
Price/Sales (TTM),2.98186
Price/Book (MRQ),1.35931
Price/Cash Flow (TTM),9.49079
5yr Low,276.08
5yr High,947.71
5yr Avg Return,0.13973333333333335
EPS Growth 5yr,0.2347409
Revenue Growth 5yr,0.079951
Dividend Growth 5yr,0.0939446
Short Int Current Month,284453.0
Short Int Prev Month,373160.0
Short Int Pct of Float,0.023852699999999998
Days to Cover,3.70739
Float,13.71561
Shares Outstanding,16.00269
Institutions Holding Shares,491.0
% Held by Institutions,0.6470130000000001
FCF Growth 5yr,1.1503143321403952
