,DOX
Next Earnings Announcement,2023-01-31 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,0.09622641509433949
Growth 1yr High Est,0.10754716981132084
Growth 1yr Consensus Est,0.10188679245283017
Growth 2yr Low Est,0.09372422303770334
Growth 2yr High Est,0.12873099546784095
Growth 2yr Consensus Est,0.11122760925277214
Growth 5yr Low Est,0.09624788243081844
Growth 5yr High Est,0.11250944667152019
Growth 5yr Consensus Est,0.10437866455116931
Growth 5yr Actual/Est,0.10046062852666626
Growth 3yr Historic,0.04630110880110877
