,DOX
% Below High,0.0369
% Held by Institutions,0.9575
52-Wk Range,['68.33 - 90.77']
Annual Dividend $,1.58
Annual Dividend %,0.0181
Ask,87.79
Ask Size,900.0
B/A Ratio,0.1111111111111111
B/A Size,100x900
Beta,0.7
Bid,87.05
Bid Size,100.0
Closing Price,87.42
Day Change $,1.06
Day Change %,0.0123
Day High,87.47
Day Low,85.27
Dividend Pay Date,2023-01-27 00:00:00
"EPS (TTM, GAAP)",
Ex-dividend,2022-12-29 00:00:00
Ex-dividend Date,12/29/22
Historical Volatility,0.21
Last (size),333.0
Last (time),12:59p ET 11/25/22
Market Cap,10.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,86.36
Shares Outstanding,122.0M
Short Interest,0.0146
Today's Open,86.41
Volume,325276.0
Volume 10-day Avg,548474.0
Volume Past Day,(Light)
