,AXTI
% Above Low,0.2902
% Held by Institutions,0.5646
52-Wk Range,['4.17 - 9.94']
Annual Dividend $,
Annual Dividend %,
Ask,5.81
Ask Size,1900.0
B/A Ratio,0.10526315789473684
B/A Size,200x1900
Beta,1.9
Bid,5.09
Bid Size,200.0
Closing Price,5.38
Day Change $,-0.09
Day Change %,-0.0165
Day High,5.48
Day Low,5.34
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.4
Ex-dividend Date,No dividend
Historical Volatility,0.609
Last (size),4.0
Last (time),12:59p ET 11/25/22
Market Cap,233.7M
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",13.32
Prev Close,5.47
Shares Outstanding,43.6M
Short Interest,0.0167
Today's Open,5.48
Volume,69729.0
Volume 10-day Avg,173086.0
Volume Past Day,(Light)
