,AXTI
Price/Earnings (TTM),13.32178
Price/Sales (TTM),1.541
Price/Book (MRQ),1.08702
Price/Cash Flow (TTM),8.1513
5yr Low,1.85
5yr High,15.84
5yr Avg Return,0.009566666666666657
EPS Growth 5yr,0.1522137
Revenue Growth 5yr,0.11051
Dividend Growth 5yr,
Short Int Current Month,682210.0
Short Int Prev Month,905886.0
Short Int Pct of Float,0.0167378
Days to Cover,2.48781
Float,40.80181
Shares Outstanding,43.55338
Institutions Holding Shares,144.0
% Held by Institutions,0.564572
FCF Growth 5yr,0.3180716283284199
