,FLNC
Next Earnings Announcement,2022-12-12 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.4378698224852071
Growth 2yr High Est,-0.6268656716417911
Growth 2yr Consensus Est,-0.5323677470634991
Growth 5yr Low Est,-0.4378698224852071
Growth 5yr High Est,-0.6268656716417911
Growth 5yr Consensus Est,-0.5323677470634991
Growth 5yr Actual/Est,0.298390542657741
Growth 3yr Historic,0.0
