,FNA
% Below High,0.045899999999999996
% Held by Institutions,0.39
52-Wk Range,['12.35 - 21.15']
Annual Dividend $,
Annual Dividend %,
Ask,20.25
Ask Size,1600.0
B/A Ratio,0.125
B/A Size,200x1600
Beta,
Bid,8.08
Bid Size,200.0
Closing Price,20.18
Day Change $,0.29
Day Change %,0.0146
Day High,20.45
Day Low,19.74
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.43
Ex-dividend Date,No dividend
Historical Volatility,0.6809999999999999
Last (size),22.0
Last (time),5:00p ET 11/25/22
Market Cap,1.6B
"P/E Ratio (TTM, GAAP)",
Prev Close,19.89
Shares Outstanding,77.1M
Short Interest,0.0464
Today's Open,19.74
Volume,106532.0
Volume 10-day Avg,214972.0
Volume Past Day,(Light)
