,RVLV
Price/Earnings (TTM),23.59462
Price/Sales (TTM),1.7167
Price/Book (MRQ),5.05746
Price/Cash Flow (TTM),21.89315
5yr Low,7.17
5yr High,89.6
5yr Avg Return,0.164375
EPS Growth 5yr,1.0714
Revenue Growth 5yr,0.2335587
Dividend Growth 5yr,
Short Int Current Month,11252967.0
Short Int Prev Month,12626824.0
Short Int Pct of Float,0.27798449999999997
Days to Cover,5.42673
Float,40.48055
Shares Outstanding,73.33558
Institutions Holding Shares,275.0
% Held by Institutions,1.277465
FCF Growth 5yr,
