,SYNA
% Above Low,0.21420000000000003
% Held by Institutions,0.9554
52-Wk Range,['81.13 - 299.39']
Annual Dividend $,
Annual Dividend %,
Ask,98.7
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.4
Bid,98.49
Bid Size,100.0
Day Change $,-4.18
Day Change %,-0.0407
Day High,101.53
Day Low,98.01
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",6.93
Ex-dividend Date,No dividend
Historical Volatility,0.638
Last (size),100.0
Last (time),3:53p ET 11/28/22
Market Cap,3.9B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",14.83
Prev Close,102.69
Price,98.51
Shares Outstanding,39.9M
Short Interest,0.0622
Today's Open,100.47
Volume Past Day,(Light)
