,SYNA
Price/Earnings (TTM),14.82612
Price/Sales (TTM),2.25572
Price/Book (MRQ),3.0987
Price/Cash Flow (TTM),9.33079
5yr Low,26.34
5yr High,299.39
5yr Avg Return,0.41546666666666665
EPS Growth 5yr,0.3578205
Revenue Growth 5yr,0.0024901999999999997
Dividend Growth 5yr,
Short Int Current Month,2453297.0
Short Int Prev Month,2554703.0
Short Int Pct of Float,0.06221790000000001
Days to Cover,3.63539
Float,39.46382
Shares Outstanding,39.87097
Institutions Holding Shares,409.0
% Held by Institutions,0.955399
FCF Growth 5yr,0.09493868987548282
