,ONTO
% Above Low,0.43479999999999996
% Held by Institutions,0.9620000000000001
52-Wk Range,['56.02 - 106.09']
Annual Dividend $,
Annual Dividend %,
Ask,80.24
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.4
Bid,76.62
Bid Size,100.0
Closing Price,80.38
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",4.08
Ex-dividend Date,No dividend
Historical Volatility,0.578
Last (size),24.0
Last (time),5:00p ET 11/25/22
Market Cap,4.0B
"P/E Ratio (TTM, GAAP)",19.68
Prev Close,80.38
Shares Outstanding,49.5M
Short Interest,0.0229
Today's Open,
Volume,66368.0
Volume 10-day Avg,201214.0
Volume Past Day,(Light)
