,ONTO
Price/Earnings (TTM),19.67894
Price/Sales (TTM),4.07155
Price/Book (MRQ),2.53605
Price/Cash Flow (TTM),14.77525
5yr Low,20.32
5yr High,106.09
5yr Avg Return,0.26403333333333334
EPS Growth 5yr,0.1033385
Revenue Growth 5yr,0.28965969999999996
Dividend Growth 5yr,
Short Int Current Month,1117296.0
Short Int Prev Month,1133929.0
Short Int Pct of Float,0.0228796
Days to Cover,3.98535
Float,48.84328
Shares Outstanding,49.51693
Institutions Holding Shares,398.0
% Held by Institutions,0.961973
FCF Growth 5yr,-0.0038168702855469285
