,DBI
Next Earnings Announcement,2022-12-01 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,0.10778443113772473
Growth 1yr High Est,0.2102272727272727
Growth 1yr Consensus Est,0.15900585193249872
Growth 2yr Low Est,0.040378702055348825
Growth 2yr High Est,0.18257842509603073
Growth 2yr Consensus Est,0.11147856357568978
Growth 5yr Low Est,-1.2692335706833828
Growth 5yr High Est,-1.1075963245728158
Growth 5yr Consensus Est,-1.1884149476280994
Growth 5yr Actual/Est,-1.1764659897730199
Growth 3yr Historic,-1.2462292609351433
