,DBI
Price/Earnings (TTM),7.00134
Price/Sales (TTM),0.29274
Price/Book (MRQ),2.74273
Price/Cash Flow (TTM),3.96036
5yr Low,2.6
5yr High,34.63
5yr Avg Return,0.03963333333333332
EPS Growth 5yr,0.0570695
Revenue Growth 5yr,0.032946300000000005
Dividend Growth 5yr,
Short Int Current Month,7906972.0
Short Int Prev Month,7345263.0
Short Int Pct of Float,0.16652909999999999
Days to Cover,7.37479
Float,47.67758
Shares Outstanding,64.23366
Institutions Holding Shares,284.0
% Held by Institutions,0.9145690000000001
FCF Growth 5yr,-0.7005206782846233
