,DBI
% Below High,0.20850000000000002
% Held by Institutions,0.9146
52-Wk Range,['11.24 - 19.38']
Annual Dividend $,0.2
Annual Dividend %,0.013000000000000001
Ask,16.48
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.9
Bid,14.0
Bid Size,200.0
Closing Price,15.34
Day Change $,-0.15
Day Change %,-0.0097
Day High,15.65
Day Low,15.31
Dividend Pay Date,2022-12-28 00:00:00
"EPS (TTM, GAAP)",2.19
Ex-dividend,2022-12-12 00:00:00
Ex-dividend Date,12/12/22
Historical Volatility,0.5770000000000001
Last (size),27.0
Last (time),5:00p ET 11/25/22
Market Cap,985.3M
"P/E Ratio (TTM, GAAP)",7.0
Prev Close,15.49
Shares Outstanding,64.2M
Short Interest,0.16649999999999998
Today's Open,15.49
Volume,551744.0
Volume 10-day Avg,1300800.0
Volume Past Day,(Light)
