,TNC
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,-0.11421911421911424
Growth 1yr High Est,-0.09953703703703709
Growth 1yr Consensus Est,-0.10687807562807566
Growth 2yr Low Est,-0.009741136056925503
Growth 2yr High Est,0.0903343092449776
Growth 2yr Consensus Est,0.040296586594026046
Growth 5yr Low Est,0.12114076376147265
Growth 5yr High Est,0.16734523842663193
Growth 5yr Consensus Est,0.1442430010940523
Growth 5yr Actual/Est,0.13946591906808747
Growth 3yr Historic,0.12800983528854126
