,TNC
Price/Earnings (TTM),23.493
Price/Sales (TTM),1.09118
Price/Book (MRQ),2.7654
Price/Cash Flow (TTM),11.75852
5yr Low,46.64
5yr High,87.4
5yr Avg Return,0.030483333333333324
EPS Growth 5yr,0.0583427
Revenue Growth 5yr,0.0617085
Dividend Growth 5yr,0.0302167
Short Int Current Month,320733.0
Short Int Prev Month,375651.0
Short Int Pct of Float,0.0175037
Days to Cover,4.02779
Float,18.32078
Shares Outstanding,18.59643
Institutions Holding Shares,227.0
% Held by Institutions,0.9444670000000001
FCF Growth 5yr,0.22080593443657115
