,TNC
% Above Low,0.1377
% Held by Institutions,0.9445
52-Wk Range,['54.90 - 85.33']
Annual Dividend $,1.06
Annual Dividend %,0.0168
Ask,92.53
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,1.0
Bid,47.07
Bid Size,100.0
Change Since Close,0.00| |(0.00%)
Closing Price,62.46
Day Change $,-0.77
Day Change %,-0.012199999999999999
Day High,62.8
Day Low,62.1
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",2.69
Ex-dividend,2022-11-29 00:00:00
Ex-dividend Date,11/29/22
Historical Volatility,0.29300000000000004
Last (size),1.0
Last (time),4:10p ET 11/28/22
Last Trade,0.0
Market Cap,1.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",23.49
Prev Close,63.23
Shares Outstanding,18.6M
Short Interest,0.0175
Today's Open,62.74
Volume,41197.0
Volume 10-day Avg,48693.0
Volume Past Day,(Below Average)
