,GXO
% Above Low,0.36700000000000005
% Held by Institutions,0.9061
52-Wk Range,['32.10 - 102.57']
Annual Dividend $,
Annual Dividend %,
Ask,48.5
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,
Bid,33.99
Bid Size,100.0
Closing Price,43.88
Day Change $,-0.01
Day Change %,-0.0002
Day High,44.07
Day Low,43.35
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.78
Ex-dividend Date,No dividend
Historical Volatility,0.5529999999999999
Last (size),2.0
Last (time),5:00p ET 11/25/22
Market Cap,5.2B
"P/E Ratio (TTM, GAAP)",24.71
Prev Close,43.89
Shares Outstanding,118.6M
Short Interest,0.0407
Today's Open,43.75
Volume,234259.0
Volume 10-day Avg,1040339.0
Volume Past Day,(Light)
