,GXO
Price/Earnings (TTM),24.70637
Price/Sales (TTM),0.59238
Price/Book (MRQ),2.02625
Price/Cash Flow (TTM),9.84096
5yr Low,32.1
5yr High,105.92
5yr Avg Return,0.17745
Short Int Current Month,4750850.0
Short Int Prev Month,3803863.0
Short Int Pct of Float,0.0407203
Days to Cover,2.76098
Float,117.971
Shares Outstanding,118.6387
Institutions Holding Shares,532.0
% Held by Institutions,0.906103
FCF Growth 5yr,-1.279940838309985
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
